47,461
116,473
148,435
98,419
90,296
76,257
108,223
132,275
115,329
178,329
214,303
193,267
286,252
268,213
200,219
146,177
107,151
200,121
236,153
297,170
335,199
356,233
384,51
415,87
476,67
352,473
397,444
424,483
406,395
430,352
469,393
460,451
476,489
524,469
506,424
468,307
508,147
540,187
584,210
612,176
679,179
547,276
552,319
628,287
677,277
720,248
718,201
782,184
797,237
801,283
746,299
606,334
841,410
776,429
644,410
583,391
593,435
666,597
579,645
611,673
659,669
699,640
752,634
752,591
715,463
806,501
756,527
788,571
822,609
835,653
799,683
746,695
696,701
660,729
597,732
543,709
525,666
542,620
582,587
338,578
296,551
238,527
141,527
169,571
220,586
262,621
310,615
371,626
403,653
372,684
328,675
302,710
255,718
262,675
210,655
208,719
146,697
156,637
120,602
105,561
